rx:5.2005e+030, ry:-9.99573e+030, vx:5.2005e+019, vy:-9.99573e+019, mass:1.8742e+050
rx:6.81541e+029, ry:1.86432e+031, vx:6.81541e+018, vy:1.86432e+020, mass:1.11947e+050
rx:1.98998e+031, ry:-8.94734e+030, vx:1.98998e+020, vy:-8.94734e+019, mass:5.65289e+049
rx:-1.89687e+031, ry:-5.92626e+030, vx:-1.89687e+020, vy:-5.92626e+019, mass:3.70263e+048
rx:3.29202e+030, ry:-8.35507e+030, vx:3.29202e+019, vy:-8.35507e+019, mass:1.86315e+050
rx:-3.13192e+031, ry:-4.42473e+031, vx:-3.13192e+020, vy:-4.42473e+020, mass:1.60779e+050
rx:-1.40091e+031, ry:7.30103e+030, vx:-1.40091e+020, vy:7.30103e+019, mass:1.57149e+049
rx:1.57623e+030, ry:-3.80726e+030, vx:1.57623e+019, vy:-3.80726e+019, mass:1.17234e+050
rx:-1.50896e+031, ry:-1.29309e+031, vx:-1.50896e+020, vy:-1.29309e+020, mass:6.83348e+049
rx:2.11291e+031, ry:7.42886e+031, vx:2.11291e+020, vy:7.42886e+020, mass:4.61615e+049
rx:1.61695e+031, ry:-4.555e+030, vx:1.61695e+020, vy:-4.555e+019, mass:2.32416e+049
rx:3.80265e+030, ry:1.40892e+031, vx:3.80265e+019, vy:1.40892e+020, mass:3.64011e+049
rx:-8.60553e+030, ry:9.79501e+030, vx:-8.60553e+019, vy:9.79501e+019, mass:1.91972e+050
rx:-4.54583e+030, ry:9.64865e+030, vx:-4.54583e+019, vy:9.64865e+019, mass:1.89623e+050
rx:6.109e+030, ry:9.58087e+030, vx:6.109e+019, vy:9.58087e+019, mass:3.68867e+049
rx:2.11495e+031, ry:-1.7495e+031, vx:2.11495e+020, vy:-1.7495e+020, mass:1.45629e+050
rx:-1.6792e+031, ry:1.50995e+031, vx:-1.6792e+020, vy:1.50995e+020, mass:9.56554e+049
rx:-9.32742e+030, ry:6.27608e+030, vx:-9.32742e+019, vy:6.27608e+019, mass:2.47894e+049
rx:3.88156e+030, ry:4.2965e+030, vx:3.88156e+019, vy:4.2965e+019, mass:1.51565e+050
rx:1.10037e+031, ry:-2.35618e+031, vx:1.10037e+020, vy:-2.35618e+020, mass:3.05315e+048
rx:6.72989e+030, ry:-1.97924e+031, vx:6.72989e+019, vy:-1.97924e+020, mass:1.43431e+049
rx:-4.337e+030, ry:6.27291e+030, vx:-4.337e+019, vy:6.27291e+019, mass:1.10715e+050
rx:-3.05561e+031, ry:-1.45343e+031, vx:-3.05561e+020, vy:-1.45343e+020, mass:1.2694e+050
rx:-4.81167e+031, ry:2.20342e+031, vx:-4.81167e+020, vy:2.20342e+020, mass:5.60372e+049
rx:2.05735e+031, ry:-1.7428e+030, vx:2.05735e+020, vy:-1.7428e+019, mass:9.34156e+048
rx:-2.91495e+031, ry:9.77969e+030, vx:-2.91495e+020, vy:9.77969e+019, mass:6.8268e+049
rx:2.30044e+031, ry:6.37686e+030, vx:2.30044e+020, vy:6.37686e+019, mass:1.08432e+050
rx:-2.63306e+030, ry:8.80531e+031, vx:-2.63306e+019, vy:8.80531e+020, mass:1.74279e+050
rx:-5.31434e+029, ry:3.64658e+030, vx:-5.31434e+018, vy:3.64658e+019, mass:9.26386e+049
rx:2.04158e+030, ry:4.16874e+030, vx:2.04158e+019, vy:4.16874e+019, mass:9.67783e+049
rx:-2.06741e+031, ry:8.27299e+029, vx:-2.06741e+020, vy:8.27299e+018, mass:1.54831e+050
rx:-4.1074e+029, ry:2.62894e+031, vx:-4.1074e+018, vy:2.62894e+020, mass:1.71917e+050
rx:3.87478e+031, ry:-5.90469e+030, vx:3.87478e+020, vy:-5.90469e+019, mass:1.52275e+050
rx:6.41333e+030, ry:1.08362e+031, vx:6.41333e+019, vy:1.08362e+020, mass:1.03813e+050
rx:-4.41067e+030, ry:-7.4844e+030, vx:-4.41067e+019, vy:-7.4844e+019, mass:1.63699e+050
rx:-4.24704e+029, ry:-9.73018e+030, vx:-4.24704e+018, vy:-9.73018e+019, mass:1.30764e+050
rx:9.57884e+031, ry:-2.43359e+031, vx:9.57884e+020, vy:-2.43359e+020, mass:7.67052e+049
rx:1.26325e+031, ry:7.92709e+030, vx:1.26325e+020, vy:7.92709e+019, mass:2.84131e+049
rx:-3.20766e+030, ry:-5.26635e+030, vx:-3.20766e+019, vy:-5.26635e+019, mass:1.94601e+050
rx:1.76841e+032, ry:-9.49137e+031, vx:1.76841e+021, vy:-9.49137e+020, mass:1.26788e+050
rx:7.46555e+030, ry:-1.01941e+031, vx:7.46555e+019, vy:-1.01941e+020, mass:7.79556e+049
rx:-1.4011e+030, ry:1.20093e+031, vx:-1.4011e+019, vy:1.20093e+020, mass:1.64294e+050
rx:-4.71223e+031, ry:1.93117e+031, vx:-4.71223e+020, vy:1.93117e+020, mass:1.95608e+050
